Date,Open,High,Low,Close,Adj Close,Volume
2019-01-29,330.000000,354.600006,327.600006,349.250000,338.216370,9816333
2019-01-30,349.049988,349.049988,335.600006,338.149994,327.467072,7672859
2019-01-31,339.899994,341.700012,330.200012,338.649994,327.951233,6403921
2019-02-01,339.899994,346.799988,333.350006,338.450012,327.757568,3119675
2019-02-04,337.250000,338.799988,329.049988,335.649994,325.046051,4517829
2019-02-05,333.100006,340.950012,330.750000,339.799988,329.064911,3262960
2019-02-06,338.799988,341.799988,318.850006,330.350006,319.913483,6687853
2019-02-07,330.549988,336.350006,322.600006,332.350006,321.850281,4871712
2019-02-08,333.000000,336.500000,328.000000,331.500000,321.027130,2915806
2019-02-11,332.950012,333.950012,318.399994,328.799988,318.412415,3783848
2019-02-12,328.799988,329.950012,323.250000,326.799988,316.475586,4496913
2019-02-14,342.000000,352.200012,340.049988,349.100006,338.071106,6612759
2019-02-15,347.549988,352.899994,347.299988,350.149994,339.087921,7728519
2019-02-18,348.000000,352.899994,345.549988,347.299988,336.327942,6875440
2019-02-19,347.500000,348.500000,337.549988,339.549988,328.822784,3300497
2019-02-20,342.000000,356.350006,340.950012,354.750000,343.542603,4885571
2019-02-21,352.100006,359.250000,350.799988,355.750000,344.510986,4089677
2019-02-22,353.549988,358.600006,352.700012,354.299988,343.106842,1719606
2019-02-25,329.000000,339.549988,320.600006,324.549988,314.296692,21795407
2019-02-26,324.000000,326.500000,315.750000,323.500000,313.279846,14243781
2019-02-27,326.549988,332.299988,322.600006,325.250000,314.974548,5738757
2019-02-28,328.700012,329.700012,325.149994,325.850006,315.555603,5059506
2019-03-01,328.799988,334.799988,327.000000,333.200012,322.673462,4756894
2019-03-05,333.250000,340.500000,330.500000,339.250000,328.532288,5098498
2019-03-06,342.500000,349.200012,334.049988,337.049988,326.401764,7949482
2019-03-07,338.000000,342.500000,335.000000,340.899994,330.130127,3047318
2019-03-08,340.899994,342.950012,338.100006,342.149994,331.340637,2265000
2019-03-11,343.200012,352.899994,342.149994,351.299988,340.201569,2918059
2019-03-12,352.549988,365.149994,351.600006,361.049988,349.643585,5386817
2019-03-13,361.450012,369.399994,357.799988,367.149994,355.550873,3888377
2019-03-14,367.000000,369.200012,360.200012,366.000000,354.437164,1775804
2019-03-15,366.250000,368.950012,361.500000,367.100006,355.502441,3057825
2019-03-18,365.049988,375.799988,365.049988,369.000000,357.342407,3037029
2019-03-19,370.000000,372.000000,362.500000,365.750000,354.195099,1933040
2019-03-20,367.000000,367.549988,359.500000,360.600006,349.207794,2925322
2019-03-22,359.600006,362.000000,355.299988,360.750000,349.353058,3229387
2019-03-25,358.899994,363.000000,353.149994,361.350006,349.934113,3162063
2019-03-26,361.350006,369.850006,361.350006,368.600006,356.955078,2657710
2019-03-27,367.200012,371.700012,364.200012,366.299988,354.727692,2965654
2019-03-28,368.850006,382.649994,366.299988,381.299988,369.253815,5909606
2019-04-01,380.950012,386.500000,378.799988,383.049988,370.948547,2479521
2019-04-02,383.000000,386.000000,377.500000,379.700012,367.704376,1825681
2019-04-03,380.299988,386.299988,380.000000,382.000000,369.931671,2701443
2019-04-04,382.000000,382.049988,374.700012,378.250000,366.300171,1397625
2019-04-05,379.000000,388.899994,377.399994,387.149994,374.918976,2443633
2019-04-08,388.299988,388.299988,375.149994,379.899994,367.898071,2624528
2019-04-09,379.750000,381.600006,373.000000,380.700012,368.672791,1542463
2019-04-10,378.399994,385.399994,375.200012,383.450012,371.335938,2067637
2019-04-11,382.500000,383.000000,377.500000,379.450012,367.462280,1621369
2019-04-12,379.200012,387.000000,377.299988,385.649994,373.466400,2146541
2019-04-15,385.000000,389.000000,382.750000,387.049988,374.822144,2070828
2019-04-16,387.049988,396.549988,386.100006,395.649994,383.150482,3728013
2019-04-18,395.000000,395.500000,388.899994,390.549988,378.211578,3218018
2019-04-22,388.399994,391.799988,384.250000,391.049988,378.695770,2279282
2019-04-23,389.549988,391.700012,385.549988,390.899994,378.550537,2424827
2019-04-24,387.700012,394.000000,386.100006,391.750000,379.373657,1674322
2019-04-25,390.000000,392.899994,387.649994,389.250000,376.952637,5163069
2019-04-26,387.299988,393.700012,385.649994,391.750000,379.373657,1681376
2019-04-30,391.149994,393.950012,384.799988,392.799988,380.390503,2502107
2019-05-02,392.799988,397.000000,390.149994,395.299988,382.811554,2139442
2019-05-03,393.000000,398.399994,385.049988,387.250000,375.015839,1863548
2019-05-06,386.000000,386.049988,378.450012,379.799988,367.801178,1648057
2019-05-07,381.000000,383.950012,370.100006,371.899994,360.150757,1628805
2019-05-08,370.049988,374.899994,367.700012,369.799988,358.117096,1688110
2019-05-09,369.899994,370.700012,361.100006,363.899994,352.403534,1315271
2019-05-10,363.899994,378.700012,363.899994,372.549988,360.780243,3030255
2019-05-13,369.899994,372.299988,362.950012,364.750000,353.226654,1520562
2019-05-14,362.899994,373.799988,362.000000,370.549988,358.843414,3050760
2019-05-15,371.000000,375.000000,359.100006,360.149994,348.772034,2499138
2019-05-16,361.000000,374.000000,361.000000,371.500000,359.763458,3157194
2019-05-17,368.799988,372.799988,362.000000,367.100006,355.502441,3059404
2019-05-20,388.500000,408.200012,376.049988,400.100006,387.459900,10973781
2019-05-21,409.000000,411.399994,385.299988,387.600006,375.354767,9115899
2019-05-22,389.000000,393.450012,378.399994,385.950012,373.756927,4543570
2019-05-23,398.950012,430.600006,392.149994,407.549988,394.674561,23021274
2019-05-24,408.450012,414.850006,399.500000,410.250000,397.289215,9272570
2019-05-27,409.250000,417.299988,405.600006,412.399994,399.371246,5088602
2019-05-28,420.000000,426.799988,408.700012,412.649994,399.613403,18296760
2019-05-29,412.299988,412.950012,404.299988,406.549988,393.706085,2511011
2019-05-30,406.549988,411.799988,401.600006,409.299988,396.369202,5598272
2019-05-31,408.799988,417.700012,407.350006,416.399994,403.244934,4217665
2019-06-03,416.399994,426.350006,412.100006,424.750000,411.331177,3852273
2019-06-04,423.399994,429.850006,417.399994,425.549988,412.105865,7683485
2019-06-06,428.149994,429.500000,420.799988,426.299988,412.832184,4848580
2019-06-07,426.299988,427.399994,419.450012,425.200012,411.766937,2648848
2019-06-10,424.100006,429.500000,420.600006,425.750000,412.299530,2374282
2019-06-11,424.700012,427.799988,423.149994,426.299988,412.832184,1707108
2019-06-12,425.250000,429.399994,423.000000,424.950012,411.524811,2329686
2019-06-13,424.000000,426.299988,422.500000,424.950012,411.524811,2925612
2019-06-14,424.950012,428.149994,423.750000,426.399994,412.929016,2745328
2019-06-17,426.000000,426.350006,422.100006,422.850006,409.491180,2736051
2019-06-18,424.899994,425.700012,418.600006,421.399994,408.086945,3509487
2019-06-19,423.500000,424.850006,400.700012,407.700012,394.819824,5938743
2019-06-20,397.950012,412.600006,389.700012,401.200012,388.525146,8383317
2019-06-21,402.149994,407.649994,397.649994,402.000000,389.299866,4710025
2019-06-24,400.000000,407.399994,399.799988,406.000000,393.173492,2582740
2019-06-25,404.000000,407.200012,402.649994,405.649994,392.834534,2099347
2019-06-26,405.399994,417.600006,404.000000,414.950012,401.840729,3327963
2019-06-27,415.250000,418.299988,404.700012,406.500000,393.657684,8841636
2019-06-28,408.700012,413.350006,407.000000,410.200012,397.240784,2148799
2019-07-01,412.000000,414.000000,408.500000,413.250000,400.194458,1457022
2019-07-02,413.000000,416.450012,409.399994,414.049988,400.969177,1671598
2019-07-03,414.000000,419.500000,414.000000,414.899994,401.792297,2542307
2019-07-04,416.000000,417.250000,413.350006,414.899994,401.792297,1101623
2019-07-05,416.399994,416.500000,400.549988,402.450012,389.735687,1670037
2019-07-08,401.000000,404.450012,395.950012,397.799988,385.232513,1648021
2019-07-09,397.700012,406.000000,392.649994,405.000000,392.205109,1952280
2019-07-10,406.950012,408.799988,402.350006,405.000000,392.205109,2023029
2019-07-11,408.200012,413.700012,403.899994,412.899994,399.855499,1732979
2019-07-12,411.950012,419.399994,409.600006,415.299988,402.179688,2818537
2019-07-15,413.549988,416.200012,408.100006,409.100006,396.175568,2601603
2019-07-16,411.649994,421.500000,407.649994,417.750000,404.552277,2111513
2019-07-17,420.200012,421.100006,414.299988,417.049988,403.874359,1698318
2019-07-18,416.700012,419.299988,410.750000,412.399994,399.371246,1300071
